step,t_s,Bx_T,By_T,B_scalar_T,branch,forc_index,Mx,My,M_proj,S1,S2,theta_director_rad,q_axis,flip_field,flip_angle,E_dip_J,E_ext_J,E_kin_J,E_total_J,omega_rms_rad_s,omega_max_rad_s
0,0,0,0,0,static,-1,1,0,1,1,1,0,1,0,0,-0.00024172673966,-0,0,-0.00024172673966,0,0
1,0.00127705498676,0,0,0,static,-1,0.99996728326,0,0.99996728326,0.99996728326,0.999869147444,0,1,0,0,-0.000242539203597,-0,6.0656612036e-07,-0.000241932637477,10.869645293,35.1891709197
