B_aplicado_T,M_proj,S,t_s
9.632289267702984e-07,0.3738601807931967,0.37395277476550054,0.0023824752093819265
1.926492025320334e-06,0.37514095399163616,0.3752323281002912,0.004764950418763853
2.8898234686421304e-06,0.3772351453496178,0.37732459971287524,0.007147425628145779
3.853257432152333e-06,0.3800922123194549,0.3801791907296003,0.009529900837527706
4.816828094904617e-06,0.38364581177585877,0.38372993442821174,0.011912376046909633
5.780569640802243e-06,0.3878140651962543,0.38789514728735563,0.014294851256291558
6.74451625981077e-06,0.392499979691074,0.39257803547107284,0.016677326465673485
7.708702149170981e-06,0.39759221936539135,0.39766745246662927,0.019059801675055412
8.673161514612089e-06,0.40296642160345997,0.4030392033555503,0.02144227688443734
9.63792857156522e-06,0.4084872279603633,0.40855806576526843,0.023824752093819266
1.0603037546377249e-05,0.41401114434404185,0.41408064195918615,0.026207227303201193
1.156852267752502e-05,0.41939025924486545,0.4194590701424567,0.028589702512583116
1.253441821683002e-05,0.42447673791977175,0.4245455121397622,0.030972177721965043
1.3500758430673471e-05,0.4291278885572399,0.4291972132392762,0.03335465293134697
1.446757760121201e-05,0.4332114837502399,0.4332818184225771,0.0357371281407289
1.5434910027593864e-05,0.43661093929470246,0.43668254931201556,0.038119603350110824
1.6402790027175674e-05,0.4392299208554246,0.4393028157560252,0.04050207855949275
1.737125193673995e-05,0.44099597709800475,0.4410698639427001,0.04288455376887468
1.8340330113713184e-05,0.4418628839740353,0.44193714726144046,0.0452670289782566
1.9310058937384764e-05,0.4418115165772784,0.44188523462474516,0.04764950418763853
2.0280472810126587e-05,0.44084922124776627,0.4409212235632501,0.050031979397020455
2.1251606158613558e-05,0.4390078150301195,0.43907677731961003,0.052414454606402386
2.2223493435044886e-05,0.43634046585053804,0.4364050313251333,0.05479692981578431
2.3196169118366358e-05,0.4329177855902086,0.43297669579708137,0.05717940502516623
2.41696677154935e-05,0.42882349368650763,0.4288757107879945,0.05956188023454816
2.514402376253575e-05,0.42414998951775645,0.4241947946240488,0.06194435544393009
2.6119271826021692e-05,0.4189941242482712,0.4190311814274595,0.06432683065331202
2.709544650412533e-05,0.413453401507351,0.41348278237971337,0.06670930586269394
2.80725824278935e-05,0.407622767004018,0.4076449350257924,0.06909178107207586
2.9050714262474485e-05,0.40159206917171425,0.4016078257452735,0.0714742562814578
3.0029876708347744e-05,0.3954441876300923,0.39545458490794577,0.07385673149083972
3.1010104502555016e-05,0.38925374462211687,0.3892599732177504,0.07623920670022165
3.199143241993263e-05,0.38308625627716625,0.38308952016296466,0.07862168190960357
3.2973895274345196e-05,0.3769975645496009,0.3769989592307051,0.0810041571189855
3.395752791992067e-05,0.371033423748871,0.3710338357509704,0.08338663232836743
3.4942365252286836e-05,0.36522918622400213,0.3652292307031944,0.08576910753774936
3.592844220980929e-05,0.35960961377630135,0.3596096223869932,0.08815158274713128
3.691579377483092e-05,0.35418890489003446,0.3541889689276548,0.0905340579565132
3.790445497491297e-05,0.34897105181753774,0.34897111790748453,0.09291653316589514
3.889446088407762e-05,0.34395062101768914,0.34395063013182725,0.09529900837527706
3.988584662405234e-05,0.33911399605754694,0.3391140526689193,0.09768148358465899
4.08786473655159e-05,0.33444105309654254,0.3344416101662623,0.10006395879404091
4.1872898329346025e-05,0.32990717464831193,0.3299092213661106,0.10244643400342283
4.286863478786895e-05,0.32548546042349075,0.3254907021760069,0.10482890921280477
4.386589206611071e-05,0.32114896979331137,0.32115999257369265,0.1072113844221867
4.486470554305041e-05,0.31687282789401494,0.31689324134862334,0.10959385963156862
4.586511065287528e-05,0.3126360429268221,0.3126705969070619,0.11197633484095054
4.686714288623774e-05,0.30842291175339653,0.30847758054028473,0.11435881005033247
4.787083779151454e-05,0.30422393089806815,0.30430595763715984,0.1167412852597144
4.887623097606782e-05,0.3000361770195346,0.30015406921377963,0.11912376046909633
4.9883358107508345e-05,0.29586317038481735,0.29602663664814804,0.12150623567847825
5.089225491496091e-05,0.29171428118277576,0.29193410091429844,0.12388871088786017
5.190295719033178e-05,0.2876037754367193,0.2878915973335548,0.1262711860972421
5.291550078957855e-05,0.28354961971179304,0.28391769219992713,0.12865366130662403
5.3929921633982115e-05,0.2795721695022241,0.2800330156292262,0.13103613651600596
5.494625571142104e-05,0.275692856541362,0.2762589163817756,0.13341861172538788
5.596453907764827e-05,0.271932969819338,0.2726162432299514,0.1358010869347698
5.698480785757033e-05,0.2683125997252223,0.26912432933992836,0.13818356214415173
5.800709824652878e-05,0.2648497897548603,0.26580022651078666,0.14056603735353365
5.9031446511584364e-05,0.2615599189460368,0.26265820880405605,0.1429485125629156
6.00578889928036e-05,0.2584553215773963,0.25970954205925273,0.14533098777229753
6.108646210454804e-05,0.25554513788235644,0.256962497528643,0.14771346298167945
6.211720233676608e-05,0.2528353790084717,0.25442257409433233,0.15009593819106137
6.315014625628745e-05,0.2503291798074946,0.25209288368520116,0.1524784134004433
6.418533050812056e-05,0.24802720367235445,0.24997464799393085,0.15486088860982522
6.522279181675242e-05,0.24592815494558296,0.248067750946233,0.15724336381920714
6.62625669874516e-05,0.24402934769168894,0.24637129047231915,0.15962583902858907
6.730469290757388e-05,0.24232727661916179,0.2448840753424137,0.162008314237971
6.834920654787087e-05,0.24081813827702286,0.24360501891887498,0.16439078944735294
6.93961449638016e-05,0.23949825909069106,0.24253339236798233,0.16677326465673487
7.044554529684715e-05,0.23836440067729178,0.24166891520910677,0.1691557398661168
7.149744477582824e-05,0.2374139300118783,0.2410116799489312,0.1715382150754987
7.255188071822603e-05,0.2366448592117397,0.24056192766753942,0.17392069028488064
7.360889053150591e-05,0.23605577373130843,0.2403197098152885,0.17630316549426256
7.466851171444467e-05,0.2356456764053022,0.240284485272891,0.17868564070364448
7.573078185846081e-05,0.23541377758151177,0.24045470892677473,0.1810681159130264
7.679573864894806e-05,0.23535925988815243,0.24082746795227516,0.18345059112240833
7.786341986661241e-05,0.2354810424468281,0.24139821533365863,0.18583306633179028
7.893386338881236e-05,0.2357775659916235,0.2421606384293577,0.1882155415411722
8.000710719090276e-05,0.23624661861436677,0.24310668542248806,0.19059801675055413
8.108318934758191e-05,0.23688522116495578,0.2442267558310633,0.19298049195993605
8.216214803424242e-05,0.23768958964335896,0.24551004402135274,0.19536296716931797
8.324402152832547e-05,0.23865518679195274,0.2469450078355941,0.1977454423786999
8.432884821067873e-05,0.2397768651261519,0.24851991925343916,0.20012791758808182
8.54166665669181e-05,0.2410490894752718,0.2502234422486842,0.20251039279746375
