t_s,B_aplicado_T,M_proj,S
0.0023824752093819265,9.632289267702984e-07,0.3738601807931967,0.37395277476550054
0.004764950418763853,1.926492025320334e-06,0.37515341734086055,0.37524477963108394
0.007147425628145779,2.8898234686421304e-06,0.37728401925561067,0.3773734289659754
0.009529900837527706,3.853257432152333e-06,0.3802111191105145,0.3802979943204312
0.011912376046909633,4.816828094904617e-06,0.3838753988205289,0.38395933485113304
0.014294851256291558,5.780569640802243e-06,0.38819850111817034,0.38827929468979466
0.016677326465673485,6.74451625981077e-06,0.3930826082306197,0.39316026609635435
0.019059801675055412,7.708702149170981e-06,0.3984104342718593,0.39848516630340725
0.02144227688443734,8.673161514612089e-06,0.4040459068417546,0.404118104658291
0.023824752093819266,9.63792857156522e-06,0.40983581194038954,0.4099060147210425
0.026207227303201193,1.0603037546377249e-05,0.41561263189844433,0.41568148084220413
0.028589702512583116,1.156852267752502e-05,0.4211987100561463,0.4212668921690164
0.030972177721965043,1.253441821683002e-05,0.42641172923983056,0.42647991026851245
0.03335465293134697,1.3500758430673471e-05,0.43107130795061865,0.4311400542702237
0.0357371281407289,1.446757760121201e-05,0.43500632658674765,0.43507601771832155
0.038119603350110824,1.5434910027593864e-05,0.4380624328404749,0.4381331705710889
0.04050207855949275,1.6402790027175674e-05,0.4401090773906871,0.44018060356982225
0.04288455376887468,1.737125193673995e-05,0.4410454248783918,0.4411170657321179
0.0452670289782566,1.8340330113713184e-05,0.4408045801960439,0.4408752372912721
0.04764950418763853,1.9310058937384764e-05,0.4393557547562898,0.4394239588617226
0.050031979397020455,2.0280472810126587e-05,0.4367042396932803,0.43676827322955597
0.052414454606402386,2.1251606158613558e-05,0.4328893060035178,0.43294738516219083
0.05479692981578431,2.2223493435044886e-05,0.42798036567581865,0.42803085943971475
0.05717940502516623,2.3196169118366358e-05,0.4220718670866361,0.42211352191928364
0.05956188023454816,2.41696677154935e-05,0.4152774531807574,0.41530959102244874
0.06194435544393009,2.514402376253575e-05,0.40772389746813503,0.4077465594108824
0.06432683065331202,2.6119271826021692e-05,0.39954527296146936,0.39955928818736747
0.06670930586269394,2.709544650412533e-05,0.3908777143776508,0.3908846809716132
0.06909178107207586,2.80725824278935e-05,0.38185500369524916,0.38185717465086977
0.0714742562814578,2.9050714262474485e-05,0.3726050478287345,0.37260512400016876
0.07385673149083972,3.0029876708347744e-05,0.36324715176990685,0.36324799567141486
0.07623920670022165,3.1010104502555016e-05,0.3538898695757892,0.3538941692655652
0.07862168190960357,3.199143241993263e-05,0.3446291852985654,0.34463911224293725
0.0810041571189855,3.2973895274345196e-05,0.3355468503425164,0.33556376351964134
0.08338663232836743,3.395752791992067e-05,0.3267088507184618,0.32673309692870767
0.08576910753774936,3.4942365252286836e-05,0.3181641323801701,0.31819497918510364
0.08815158274713128,3.592844220980929e-05,0.30994380987968656,0.30997952637399667
0.0905340579565132,3.691579377483092e-05,0.30206108816821353,0.30209916590936214
0.09291653316589514,3.790445497491297e-05,0.29451204747766274,0.2945495351102268
0.09529900837527706,3.889446088407762e-05,0.2872773166861556,0.2873112305104044
0.09768148358465899,3.988584662405234e-05,0.2803245390494009,0.2803523084457918
0.10006395879404091,4.08786473655159e-05,0.27361144935367626,0.27363135885715867
0.10244643400342283,4.1872898329346025e-05,0.26708934389363276,0.26710094035809506
0.10482890921280477,4.286863478786895e-05,0.2607067252490034,0.2607111670537786
0.1072113844221867,4.386589206611071e-05,0.2544129246671298,0.254413259526619
0.10959385963156862,4.486470554305041e-05,0.24816152892765145,0.24816289771137948
0.11197633484095054,4.586511065287528e-05,0.24191345550252635,0.24192323184839745
0.11435881005033247,4.686714288623774e-05,0.2356395273485703,0.23566741635036267
0.1167412852597144,4.787083779151454e-05,0.2293224014888154,0.22938053371541614
0.11912376046909633,4.887623097606782e-05,0.22295771324463248,0.22306077991870885
0.12150623567847825,4.9883358107508345e-05,0.2165543222278644,0.21671979993121251
0.12388871088786017,5.089225491496091e-05,0.21013359665185155,0.21038210181926298
0.1262711860972421,5.190295719033178e-05,0.203727751742635,0.20408354358150443
0.12865366130662403,5.291550078957855e-05,0.19737735750283825,0.1978689713622803
0.13103613651600596,5.3929921633982115e-05,0.19112823152269193,0.19178917393982906
0.13341861172538788,5.494625571142104e-05,0.18502801018261458,0.18589738638018655
0.1358010869347698,5.596453907764827e-05,0.17912272797362555,0.18024561265836805
0.13818356214415173,5.698480785757033e-05,0.1734537242402592,0.17488104436415253
0.14056603735353365,5.800709824652878e-05,0.16805514749379008,0.16984284404859826
0.1429485125629156,5.9031446511584364e-05,0.16295225464457055,0.16515955176598657
0.14533098777229753,6.00578889928036e-05,0.1581606191656136,0.16084736309043063
0.14771346298167945,6.108646210454804e-05,0.1536862743511604,0.1569094983990988
0.15009593819106137,6.211720233676608e-05,0.14952672640173092,0.1533368086967248
0.1524784134004433,6.315014625628745e-05,0.14567267951967175,0.15010962582721477
0.15486088860982522,6.418533050812056e-05,0.14211023087744087,0.14720067734698103
0.15724336381920714,6.522279181675242e-05,0.1388232328582341,0.14457869303851206
0.15962583902858907,6.62625669874516e-05,0.13579549926838477,0.14221218910508537
0.162008314237971,6.730469290757388e-05,0.1330125606719622,0.14007287298394278
0.16439078944735294,6.834920654787087e-05,0.13046275126515236,0.13813818156032928
0.16677326465673487,6.93961449638016e-05,0.12813752645138698,0.13639263192122517
0.1691557398661168,7.044554529684715e-05,0.12603104997313025,0.1348278890936729
0.1715382150754987,7.149744477582824e-05,0.12413922922160445,0.1334416928302189
0.17392069028488064,7.255188071822603e-05,0.1224584889526084,0.1322359881390256
0.17630316549426256,7.360889053150591e-05,0.12098462771825018,0.1312147303032518
0.17868564070364448,7.466851171444467e-05,0.11971207604130592,0.1303818562382436
0.1810681159130264,7.573078185846081e-05,0.11863376686629627,0.1297398237877822
