t_s,B_T,M_proj,S,B_r
0.05030836109223181,0.07,0.9694991769296687,0.9695037751892849,0.07
0.05129479954502067,0.07,0.968279170451248,0.9682834239085507,0.07
0.052281237997809524,0.07,0.968654263806516,0.9686572413322867,0.07
0.053267676450598385,0.07,0.9708196563803149,0.9708210339869984,0.07
0.054254114903387246,0.07,0.9742662737495756,0.9742665330337342,0.07
0.0552405533561761,0.07,0.9780438993549964,0.978043922145145,0.07
0.05622699180896496,0.07000000000000002,0.9811624437925295,0.9811629694475021,0.07
0.05721343026175382,0.07,0.9829637778729744,0.9829651713578996,0.07
0.058199868714542684,0.07,0.9833266647091359,0.9833289519620799,0.07
0.05918630716733154,0.07,0.9826490190027638,0.9826519597242201,0.07
0.0601727456201204,0.07000000000000002,0.9816446389138234,0.9816477675676767,0.07
0.06115918407290926,0.07,0.9810518816886484,0.9810546070972026,0.07
0.062145622525698115,0.07,0.9813652564886602,0.9813670937976473,0.07
0.06313206097848698,0.07,0.9826804030522713,0.9826812363236757,0.07
0.06411849943127583,0.07,0.9846988665644519,0.9846990169053764,0.07
0.0651049378840647,0.07,0.9868786061366126,0.9868786264821909,0.07
0.06609137633685355,0.07,0.9886608476231624,0.9886612260356631,0.07
0.0670778147896424,0.07,0.9896798082807269,0.9896807943091218,0.07
0.06806425324243127,0.07,0.9898777423143919,0.9898793294905761,0.07
0.06905069169522013,0.07,0.9894929976540151,0.9894949765033259,0.07
0.07003713014800898,0.07,0.9889410165210951,0.9889430451741456,0.07
0.07102356860079785,0.07,0.9886445274440684,0.9886462325017423,0.07
0.0720100070535867,0.07,0.988879183048706,0.9888802998407132,0.07
0.07299644550637556,0.07,0.989687868220704,0.9896883634591076,0.07
0.07398288395916443,0.07,0.9908883300429964,0.9908884155114357,0.07
0.07496932241195328,0.07,0.9921632566737029,0.9921632720539126,0.07
0.07595576086474214,0.07,0.993191842066259,0.9931920908315571,0.07
0.076942199317531,0.07,0.9937694742284109,0.9937701143775277,0.07
0.07792863777031986,0.07,0.9938717678835389,0.9938727881219814,0.07
0.07891507622310873,0.07,0.9936449742053529,0.9936462263862033,0.07
0.07990151467589758,0.07,0.9933346007691043,0.9933358586092746,0.07
0.08088795312868644,0.07,0.9931853802927116,0.9931864155032556,0.07
0.0818743915814753,0.07,0.9933519497208924,0.9933526156462638,0.07
0.08286083003426416,0.07,0.9938513742193463,0.9938516651198973,0.07
0.08384726848705301,0.07,0.9945707312729903,0.9945707799559468,0.07
0.08483370693984188,0.07,0.9953218888878228,0.9953218993386692,0.07
0.08582014539263073,0.07,0.9959188309973279,0.9959189869072655,0.07
0.08680658384541959,0.07,0.9962465734077809,0.9962469721095426,0.07
0.08779302229820846,0.07,0.9962967570706006,0.9962973897776316,0.07
