t_s,B_applied_T,M_proj,S,B_r
0.8526013011227925,0.005,0.9999984443214985,0.9999984443214988,0.005
0.8562922158462678,0.005,0.9999984443215006,0.9999984443215006,0.005
0.8599831305697431,0.005,0.9999984443215046,0.9999984443215046,0.005
0.8636740452932183,0.005,0.9999984443215102,0.9999984443215102,0.005
0.8673649600166937,0.005,0.9999984443215164,0.9999984443215163,0.005
0.871055874740169,0.005,0.9999984443215224,0.9999984443215224,0.005
0.8747467894636443,0.005,0.9999984443215278,0.9999984443215278,0.005
0.8784377041871195,0.005,0.9999984443215324,0.9999984443215324,0.005
0.8821286189105948,0.005,0.9999984443215357,0.9999984443215357,0.005
0.8858195336340702,0.005,0.9999984443215377,0.9999984443215377,0.005
0.8895104483575454,0.005,0.9999984443215387,0.9999984443215386,0.005
0.8932013630810207,0.005,0.9999984443215385,0.9999984443215385,0.005
0.896892277804496,0.004999999999999999,0.9999984443215375,0.9999984443215375,0.005
0.9005831925279714,0.004999999999999999,0.999998444321536,0.999998444321536,0.005
0.9042741072514466,0.005000000000000001,0.9999984443215341,0.9999984443215341,0.005
0.9079650219749219,0.005,0.9999984443215321,0.9999984443215322,0.005
0.9116559366983972,0.005,0.9999984443215302,0.9999984443215302,0.005
0.9153468514218724,0.005,0.9999984443215286,0.9999984443215286,0.005
0.9190377661453478,0.005,0.9999984443215274,0.9999984443215274,0.005
0.9227286808688231,0.004999999999999999,0.9999984443215265,0.9999984443215265,0.005
0.9264195955922984,0.005000000000000001,0.9999984443215261,0.9999984443215261,0.005
0.9301105103157736,0.005,0.999998444321526,0.9999984443215258,0.005
0.9338014250392489,0.005,0.9999984443215261,0.9999984443215261,0.005
0.9374923397627243,0.005,0.9999984443215266,0.9999984443215266,0.005
0.9411832544861995,0.005,0.9999984443215272,0.9999984443215272,0.005
0.9448741692096748,0.005,0.9999984443215276,0.9999984443215276,0.005
0.9485650839331501,0.005,0.9999984443215282,0.9999984443215283,0.005
0.9522559986566254,0.005,0.9999984443215288,0.9999984443215288,0.005
0.9559469133801007,0.005,0.9999984443215292,0.9999984443215292,0.005
0.959637828103576,0.005,0.9999984443215295,0.9999984443215296,0.005
0.9633287428270513,0.005,0.9999984443215297,0.9999984443215297,0.005
0.9670196575505265,0.005,0.99999844432153,0.99999844432153,0.005
0.9707105722740018,0.005,0.99999844432153,0.99999844432153,0.005
0.9744014869974772,0.005,0.9999984443215297,0.9999984443215297,0.005
0.9780924017209525,0.005000000000000001,0.9999984443215296,0.9999984443215296,0.005
0.9817833164444277,0.005,0.9999984443215295,0.9999984443215294,0.005
0.985474231167903,0.005,0.9999984443215293,0.9999984443215293,0.005
0.9891651458913783,0.004999999999999999,0.9999984443215292,0.9999984443215292,0.005
0.9928560606148537,0.004999999999999999,0.9999984443215291,0.9999984443215291,0.005
0.9965469753383289,0.005,0.9999984443215288,0.9999984443215288,0.005
1.0002378900618043,0.005,0.9999984443215287,0.9999984443215287,0.005
1.0039288047852795,0.005,0.9999984443215286,0.9999984443215286,0.005
1.0076197195087548,0.005,0.9999984443215286,0.9999984443215286,0.005
1.01131063423223,0.005000000000000001,0.9999984443215286,0.9999984443215286,0.005
1.0150015489557054,0.005000000000000001,0.9999984443215286,0.9999984443215286,0.005
1.0186924636791808,0.005000000000000001,0.9999984443215287,0.9999984443215287,0.005
1.022383378402656,0.005,0.9999984443215287,0.9999984443215288,0.005
1.0260742931261313,0.005,0.9999984443215288,0.9999984443215288,0.005
1.0297652078496065,0.005,0.9999984443215288,0.9999984443215288,0.005
1.0334561225730818,0.005,0.9999984443215288,0.9999984443215291,0.005
1.0371470372965572,0.005,0.9999984443215291,0.9999984443215291,0.005
1.0408379520200324,0.005,0.9999984443215291,0.9999984443215291,0.005
1.0445288667435078,0.005,0.9999984443215292,0.9999984443215291,0.005
1.048219781466983,0.005000000000000001,0.9999984443215292,0.9999984443215291,0.005
1.0519106961904583,0.005000000000000001,0.9999984443215291,0.9999984443215291,0.005
1.0556016109139337,0.005000000000000001,0.9999984443215292,0.9999984443215291,0.005
1.0592925256374088,0.005,0.9999984443215291,0.9999984443215291,0.005
1.0629834403608842,0.005,0.9999984443215292,0.9999984443215291,0.005
1.0666743550843594,0.005,0.9999984443215288,0.9999984443215291,0.005
1.0703652698078348,0.005,0.9999984443215288,0.9999984443215291,0.005
1.0740561845313101,0.005,0.9999984443215288,0.9999984443215288,0.005
1.0777470992547853,0.005,0.9999984443215288,0.9999984443215288,0.005
1.0814380139782607,0.005,0.9999984443215288,0.9999984443215288,0.005
1.0851289287017358,0.005,0.9999984443215288,0.9999984443215288,0.005
1.0888198434252112,0.005,0.9999984443215288,0.9999984443215288,0.005
1.0925107581486866,0.005,0.9999984443215288,0.9999984443215288,0.005
1.0962016728721617,0.005,0.9999984443215288,0.9999984443215288,0.005
1.0998925875956371,0.005,0.9999984443215288,0.9999984443215288,0.005
1.1035835023191123,0.004999999999999999,0.9999984443215288,0.9999984443215288,0.005
1.1072744170425877,0.004999999999999999,0.9999984443215288,0.9999984443215288,0.005
1.110965331766063,0.004999999999999999,0.9999984443215288,0.9999984443215288,0.005
1.1146562464895382,0.005,0.9999984443215288,0.9999984443215288,0.005
1.1183471612130136,0.005,0.9999984443215288,0.9999984443215288,0.005
1.1220380759364887,0.005,0.9999984443215288,0.9999984443215288,0.005
1.1257289906599641,0.005,0.9999984443215288,0.9999984443215291,0.005
1.1294199053834395,0.005,0.9999984443215288,0.9999984443215291,0.005
1.1331108201069147,0.005,0.9999984443215288,0.9999984443215291,0.005
1.13680173483039,0.005,0.9999984443215288,0.9999984443215291,0.005
1.1404926495538652,0.004999999999999999,0.9999984443215288,0.9999984443215291,0.005
1.1441835642773406,0.004999999999999999,0.9999984443215288,0.9999984443215291,0.005
1.147874479000816,0.004999999999999999,0.9999984443215288,0.9999984443215291,0.005
1.1515653937242911,0.005,0.9999984443215288,0.9999984443215291,0.005
1.1552563084477665,0.005,0.9999984443215288,0.9999984443215291,0.005
1.1589472231712419,0.005,0.9999984443215288,0.9999984443215291,0.005
1.162638137894717,0.005000000000000001,0.9999984443215288,0.9999984443215291,0.005
1.1663290526181924,0.005000000000000001,0.9999984443215288,0.9999984443215288,0.005
1.1700199673416676,0.005,0.9999984443215288,0.9999984443215288,0.005
1.173710882065143,0.005,0.9999984443215288,0.9999984443215288,0.005
1.1774017967886183,0.005,0.9999984443215288,0.9999984443215288,0.005
1.1810927115120935,0.004999999999999999,0.9999984443215288,0.9999984443215288,0.005
1.1847836262355689,0.004999999999999999,0.9999984443215288,0.9999984443215288,0.005
1.188474540959044,0.005,0.9999984443215288,0.9999984443215288,0.005
1.1921654556825194,0.005,0.9999984443215288,0.9999984443215291,0.005
1.1958563704059948,0.005,0.9999984443215288,0.9999984443215291,0.005
1.19954728512947,0.005000000000000001,0.9999984443215288,0.9999984443215291,0.005
1.2032381998529453,0.005000000000000001,0.9999984443215288,0.9999984443215291,0.005
1.2069291145764205,0.005,0.9999984443215288,0.9999984443215291,0.005
1.2106200292998959,0.005,0.9999984443215288,0.9999984443215291,0.005
1.2143109440233713,0.005,0.9999984443215288,0.9999984443215291,0.005
1.2180018587468464,0.005,0.9999984443215288,0.9999984443215291,0.005
1.2216927734703218,0.005,0.9999984443215288,0.9999984443215291,0.005
1.225383688193797,0.005,0.9999984443215288,0.9999984443215291,0.005
1.2290746029172723,0.005,0.9999984443215288,0.9999984443215291,0.005
1.2327655176407477,0.005,0.9999984443215288,0.9999984443215288,0.005
1.2364564323642229,0.005000000000000001,0.9999984443215288,0.9999984443215288,0.005
1.2401473470876982,0.005000000000000001,0.9999984443215288,0.9999984443215288,0.005
1.2438382618111734,0.005,0.9999984443215288,0.9999984443215288,0.005
1.2475291765346488,0.005,0.9999984443215288,0.9999984443215288,0.005
1.2512200912581242,0.005,0.9999984443215288,0.9999984443215288,0.005
1.2549110059815993,0.005,0.9999984443215288,0.9999984443215288,0.005
1.2586019207050747,0.005,0.9999984443215288,0.9999984443215288,0.005
1.2622928354285499,0.005,0.9999984443215288,0.9999984443215288,0.005
1.2659837501520252,0.005,0.9999984443215288,0.9999984443215288,0.005
1.2696746648755006,0.005,0.9999984443215288,0.9999984443215288,0.005
1.2733655795989758,0.005,0.9999984443215288,0.9999984443215288,0.005
1.2770564943224512,0.005,0.9999984443215288,0.9999984443215291,0.005
1.2807474090459263,0.005,0.9999984443215288,0.9999984443215291,0.005
1.2844383237694017,0.005,0.9999984443215288,0.9999984443215291,0.005
1.288129238492877,0.005,0.9999984443215288,0.9999984443215291,0.005
1.2918201532163522,0.005,0.9999984443215288,0.9999984443215291,0.005
1.2955110679398276,0.005,0.9999984443215288,0.9999984443215291,0.005
1.2992019826633028,0.005,0.9999984443215288,0.9999984443215291,0.005
1.3028928973867782,0.005,0.9999984443215288,0.9999984443215288,0.005
1.3065838121102535,0.005,0.9999984443215288,0.9999984443215288,0.005
1.3102747268337287,0.005,0.9999984443215288,0.9999984443215288,0.005
1.313965641557204,0.005,0.9999984443215288,0.9999984443215288,0.005
1.3176565562806792,0.005,0.9999984443215288,0.9999984443215288,0.005
1.3213474710041546,0.005,0.9999984443215288,0.9999984443215288,0.005
1.32503838572763,0.005,0.9999984443215288,0.9999984443215288,0.005
1.3287293004511052,0.005,0.9999984443215288,0.9999984443215288,0.005
1.3324202151745805,0.005,0.9999984443215288,0.9999984443215288,0.005
1.3361111298980557,0.005,0.9999984443215288,0.9999984443215288,0.005
1.339802044621531,0.005,0.9999984443215288,0.9999984443215288,0.005
1.3434929593450065,0.005,0.9999984443215288,0.9999984443215288,0.005
1.3471838740684816,0.005,0.9999984443215288,0.9999984443215288,0.005
1.350874788791957,0.005,0.9999984443215288,0.9999984443215288,0.005
1.3545657035154322,0.005,0.9999984443215288,0.9999984443215288,0.005
1.3582566182389075,0.005,0.9999984443215288,0.9999984443215288,0.005
1.361947532962383,0.005,0.9999984443215288,0.9999984443215288,0.005
1.365638447685858,0.005,0.9999984443215288,0.9999984443215288,0.005
1.3693293624093335,0.005,0.9999984443215288,0.9999984443215288,0.005
1.3730202771328088,0.005,0.9999984443215288,0.9999984443215288,0.005
1.376711191856284,0.005,0.9999984443215288,0.9999984443215288,0.005
1.3804021065797594,0.005,0.9999984443215288,0.9999984443215288,0.005
1.3840930213032345,0.005,0.9999984443215288,0.9999984443215288,0.005
1.38778393602671,0.005,0.9999984443215288,0.9999984443215288,0.005
1.3914748507501853,0.005,0.9999984443215288,0.9999984443215288,0.005
1.3951657654736604,0.005,0.9999984443215288,0.9999984443215288,0.005
1.3988566801971358,0.005,0.9999984443215288,0.9999984443215288,0.005
1.402547594920611,0.005,0.9999984443215288,0.9999984443215288,0.005
1.4062385096440864,0.005,0.9999984443215288,0.9999984443215288,0.005
1.4099294243675617,0.005,0.9999984443215288,0.9999984443215288,0.005
1.413620339091037,0.005,0.9999984443215288,0.9999984443215288,0.005
1.4173112538145123,0.005,0.9999984443215288,0.9999984443215288,0.005
1.4210021685379874,0.005,0.9999984443215288,0.9999984443215288,0.005
1.4246930832614628,0.005,0.9999984443215288,0.9999984443215288,0.005
1.4283839979849382,0.005,0.9999984443215288,0.9999984443215288,0.005
1.4320749127084134,0.005,0.9999984443215288,0.9999984443215288,0.005
1.4357658274318887,0.005,0.9999984443215288,0.9999984443215288,0.005
1.439456742155364,0.005,0.9999984443215288,0.9999984443215288,0.005
1.4431476568788393,0.005,0.9999984443215288,0.9999984443215288,0.005
1.4468385716023147,0.005,0.9999984443215288,0.9999984443215288,0.005
1.4505294863257898,0.005,0.9999984443215288,0.9999984443215288,0.005
1.4542204010492652,0.005,0.9999984443215288,0.9999984443215288,0.005
1.4579113157727404,0.005,0.9999984443215288,0.9999984443215288,0.005
1.4616022304962157,0.005,0.9999984443215288,0.9999984443215288,0.005
1.4652931452196911,0.005,0.9999984443215288,0.9999984443215288,0.005
1.4689840599431663,0.005,0.9999984443215288,0.9999984443215288,0.005
1.4726749746666417,0.005,0.9999984443215288,0.9999984443215288,0.005
1.4763658893901168,0.005,0.9999984443215288,0.9999984443215288,0.005
1.4800568041135922,0.005,0.9999984443215288,0.9999984443215288,0.005
1.4837477188370676,0.005,0.9999984443215288,0.9999984443215288,0.005
