B_applied_T,M_proj,S,t_s
2.4875964024092617e-06,0.29342863221430027,0.37377995601973213,0.014763658893901169
4.978582005184287e-06,0.2940874357814673,0.3745741099836763,0.029527317787802338
7.4763506262723376e-06,0.29520782970413456,0.3759116640687433,0.04429097668170351
9.98430532507484e-06,0.2967998812405659,0.37779514784796603,0.059054635575604676
1.2505863038911e-05,0.29886819263825243,0.3802205582320985,0.07381829446950584
1.5044459238389213e-05,0.30141178625124265,0.38317715696569704,0.08858195336340702
1.7603552608028978e-05,0.30442397295224827,0.386647246018778,0.10334561225730818
2.0186629758510408e-05,0.30789222908991565,0.3906059517300763,0.11810927115120935
2.279720997697135e-05,0.31179811310062244,0.39502105655250924,0.13287293004511053
2.5438850021824354e-05,0.31611725732999113,0.39985292404917316,0.1476365889390117
2.811514896862587e-05,0.3208194728047792,0.40505456736448553,0.16240024783291285
3.082975311360009e-05,0.3258690036852442,0.4105719125652468,0.17716390672681404
3.358636094149803e-05,0.33122496307778493,0.4163443048476938,0.1919275656207152
3.6388728164560446e-05,0.3368419723038391,0.4223052967603656,0.20669122451461636
3.92406728394497e-05,0.34267101175372844,0.4283837430051953,0.22145488340851754
4.214608056912205e-05,0.3486604741410238,0.43450520660260683,0.2362185423024187
4.510890979672792e-05,0.35475739231225584,0.44059365775471176,0.25098220119631987
4.813319719875236e-05,0.36090879650287827,0.44657342197230904,0.26574586009022105
5.122306318474378e-05,0.3670631430051773,0.45237131076680187,0.2805095189841222
5.4382717511124e-05,0.37317174996901187,0.4579188491561263,0.2952731778780234
5.7616465016727936e-05,0.3791901774264778,0.4631545013950793,0.31003683677192456
6.092871148788732e-05,0.3850794966566286,0.4680257905983698,0.3248004956658257
6.432396966104964e-05,0.39080740594036323,0.4724912089771585,0.3395641545597269
6.780686537110959e-05,0.39634916184439384,0.47652182206823274,0.35432781345362807
7.138214385383091e-05,0.40168830389578114,0.48010248108055875,0.3690914723475292
7.505467621094445e-05,0.40681715386727263,0.48323257109692247,0.3838551312414304
7.882946604673098e-05,0.41173706929726234,0.4859262389428561,0.3986187901353316
8.271165628513096e-05,0.416458427271738,0.4882120637137998,0.4133824490292327
8.67065361766688e-05,0.42100031365982094,0.49013215671351734,0.4281461079231339
9.081954850473833e-05,0.4253898999305575,0.4917407074244814,0.4429097668170351
9.505629700106759e-05,0.42966150758468896,0.49310202835487965,0.4576734257109362
9.942255398046591e-05,0.43385538855219613,0.4942881917862753,0.4724370846048374
0.00010392426820525557,0.4380162834173997,0.4953763899278464,0.4872007434987386
0.00010856757299010226,0.44219184917204124,0.4964461788386219,0.5019644023926397
0.00011335879455828716,0.44643106491939016,0.49757677812314915,0.5167280612865409
0.00011830446066080549,0.450782721606639,0.49884458881857324,0.5314917201804421
0.00012341130947003407,0.45529408102020874,0.50032106271021,0.5462553790743433
0.00012868629876008582,0.4600097571619973,0.5020710144776604,0.5610190379682444
0.00013413661538635825,0.46497084045439974,0.5041514230757171,0.5757826968621456
0.00013976968507719108,0.47021426136061417,0.5066107289694798,0.5905463557560467
0.00014559318255097435,0.47577237902817393,0.5094886038541919,0.6053100146499479
0.00015161504197249023,0.48167278022620236,0.512816149506483,0.6200736735438491
0.00015784346776273484,0.48793827761388525,0.5166164695484448,0.6348373324377503
0.00016428694577694825,0.4945870969657758,0.5209055482071397,0.6496009913316514
0.00017095425486608127,0.5016332355005969,0.5256933603475299,0.6643646502255526
0.00017785447883745154,0.5090869570086379,0.530985125621946,0.6791283091194538
0.00018499701883088423,0.5169553671000451,0.5367826072246579,0.693891968013355
0.00019239160612719914,0.5252429894828395,0.5430853453956122,0.7086556269072561
0.0002000483154064952,0.5339522486772821,0.549891711917525,0.7234192858011573
0.0002079775784742954,0.5430837619061809,0.5571996787272363,0.7381829446950584
0.0002161901984742544,0.5526363558804889,0.5650072134404313,0.7529466035889596
0.00022469736460679082,0.5626067510755222,0.5733122449298229,0.7677102624828608
0.00023351066737370017,0.5729888904535495,0.5821121764490365,0.782473921376762
0.00024264211436951497,0.5837729220260347,0.5914029527873911,0.7972375802706632
0.0002521041466411303,0.5949438660322481,0.601177703104459,0.8120012391645643
0.000261909655637981,0.6064800031512041,0.6114249792049306,0.8267648980584654
0.00027207200077586537,0.6183510137425391,0.6221265957988286,0.8415285569523666
0.00028260502763834567,0.6305158938410563,0.6332550710930216,0.8562922158462678
0.0002935230868405218,0.6429206947664767,0.6447706880492667,0.871055874740169
0.00030484105358088076,0.6554962052410084,0.6566182762446584,0.8858195336340702
0.0003165743479078593,0.6681558331209192,0.6687239693997594,0.9005831925279714
0.0003287389557287316,0.6807941378487631,0.680992417548123,0.9153468514218724
0.0003413514505894458,0.6932866659474817,0.6933051802710832,0.9301105103157736
0.00035442901625508286,0.7054918625262425,0.7055212096032071,0.9448741692096748
0.0003679894701217021,0.7172557629535967,0.7174803277506437,0.959637828103576
0.00038205128749147063,0.7284198198590404,0.7290102989805622,0.9744014869974772
0.00039663362674415096,0.7388315715550193,0.7399374315278828,0.9891651458913783
0.0004117563554392397,0.7483570065948768,0.7500996954409748,1.0039288047852795
0.00042744007738432254,0.7568926554239415,0.759360345073084,1.0186924636791808
0.00044370616070651964,0.7643749642413864,0.7676193701450216,1.0334561225730818
0.00046057676696527604,0.7707846841385031,0.7748201618081434,1.048219781466983
