B_aplicado_T,M_proj,S,t_s
6.217667454639212e-07,0.3744638215313199,0.37455583140766807,0.0036909147234752923
1.2435864302786992e-06,0.3774815586113135,0.3775707674438918,0.0073818294469505845
1.8655119983026282e-06,0.3822949759074889,0.38238008565554255,0.011072744170425877
2.4875964024092617e-06,0.38862806932641625,0.388708459160583,0.014763658893901169
3.109892608996002e-06,0.39611763180045,0.3961934126960943,0.01845457361737646
3.7324536024938396e-06,0.4043205056146352,0.40439245413201946,0.022145488340851754
4.355332389878629e-06,0.4127287731664668,0.4127981668926151,0.025836403064327045
4.978582005184287e-06,0.4207957564965706,0.4208641356575955,0.029527317787802338
5.602255514018288e-06,0.4279731341643421,0.42804200233645934,0.03321823251127763
6.2264060180798555e-06,0.433755854556949,0.4338263244872952,0.03690914723475292
6.85108665968122e-06,0.4377280129866291,0.43780042717970585,0.04060006195822821
7.4763506262723376e-06,0.43960100993268353,0.4396746254398061,0.04429097668170351
8.102251154969451e-06,0.43923617119902447,0.4393090527004524,0.0479818914051788
8.728841537087887e-06,0.4366475076332372,0.4367167528459615,0.05167280612865409
9.356175122679453e-06,0.4319851822610174,0.43204748239850493,0.055363720852129386
9.98430532507484e-06,0.4255046489554157,0.425557031406986,0.059054635575604676
1.0613285625431437e-05,0.41752873433096904,0.4175692545439618,0.06274555029907997
1.1243169577286873e-05,0.40840980300430485,0.4084379904348131,0.06643646502255526
1.1874010811118766e-05,0.3984974303847888,0.39851439195795485,0.07012737974603055
1.2505863038911e-05,0.3881146334307883,0.38812280206607386,0.07381829446950584
1.3138780058726956e-05,0.37754304404800065,0.37754561909970885,0.07750920919298114
1.3772815759290038e-05,0.36701494382585254,0.367015139354606,0.08120012391645642
1.4408024124571988e-05,0.35670892958472594,0.35670922643623987,0.08489103863993172
1.5044459238389213e-05,0.3467469478761269,0.3467485822234749,0.08858195336340702
1.5682175289007705e-05,0.3371928131692645,0.33719567972955977,0.0922728680868823
1.632122657375681e-05,0.3280542280563223,0.3280572511073738,0.0959637828103576
1.696166750365227e-05,0.3192903508788638,0.3192922543148413,0.0996546975338329
1.760355260802898e-05,0.310825286787714,0.3108256372026893,0.10334561225730818
1.8246936539183805e-05,0.30256579782835535,0.3025662082037006,0.10703652698078348
1.8891874077028848e-05,0.294420186882116,0.29442561260462086,0.11072744170425877
1.953842013375561e-05,0.28631505966982473,0.286335141425877,0.11441835642773406
2.0186629758510408e-05,0.2782072721315735,0.2782576487413543,0.11810927115120935
2.083655814208142e-05,0.27008947654646276,0.27019290794868633,0.12180018587468465
2.1488260621597865e-05,0.26198901405241093,0.26217606176028396,0.12549110059815993
2.2141792685241553e-05,0.25396118508052207,0.2542701587061146,0.12918201532163523
2.2797209976971353e-05,0.2460788408021945,0.24655479136129438,0.13287293004511053
2.3454568301260918e-05,0.2384205653491614,0.23911330827503488,0.13656384476858582
2.4113923627850056e-05,0.23105951705762756,0.23202096574191033,0.1402547594920611
2.4775332096510216e-05,0.22405452662494305,0.22533592193254728,0.1439456742155364
2.5438850021824357e-05,0.21744453254245266,0.2190943409560046,0.1476365889390117
2.610453389798184e-05,0.21124690534747145,0.2133101188831718,0.15132750366248698
2.677244040358848e-05,0.20545960049716683,0.2079788775224969,0.15501841838596228
2.7442626406492384e-05,0.20006638597470583,0.20308500771054722,0.15870933310943758
2.811514896862587e-05,0.1950437704855698,0.19860990485335525,0.16240024783291285
2.879006535086392e-05,0.19036794004164598,0.19453933569612353,0.16609116255638814
2.946743301789956e-05,0.1860201445758637,0.19086818641794295,0.16978207727986344
3.014730964313658e-05,0.18198953539927432,0.1876015867005485,0.17347299200333874
3.082975311360009e-05,0.1782732469652431,0.18475238170260852,0.17716390672681404
3.1514821534865185e-05,0.1748742731606913,0.18233587773307178,0.18085482145028933
3.2202573236004265e-05,0.17179817026961228,0.18036346512753887,0.1845457361737646
3.2893066774553394e-05,0.16904970906991493,0.17883693372517212,0.1882366508972399
3.358636094149803e-05,0.16663034606009533,0.1777449818513841,0.1919275656207152
3.428251476627875e-05,0.16453696135309678,0.1770626881304777,0.1956184803441905
3.498158752181719e-05,0.16276190014967404,0.1767538153085101,0.1993093950676658
3.568363872956275e-05,0.16129404838072425,0.17677503600540675,0.2030003097911411
3.638872816456045e-05,0.16012047382122796,0.1770807356973258,0.20669122451461636
3.7096915860540414e-05,0.15922805720154956,0.1776270528865896,0.21038213923809165
3.7808262115029295e-05,0.15860454272458507,0.17837421332377637,0.21407305396156695
3.852282749448422e-05,0.15823858818749062,0.17928684191048472,0.21776396868504225
3.92406728394497e-05,0.15811868621624375,0.18033256974421458,0.22145488340851754
3.996185926973769e-05,0.15823118091448293,0.18147968282352897,0.22514579813199284
4.068644818963164e-05,0.15855788390105066,0.18269465439920327,0.2288367128554681
4.141450129311459e-05,0.15907387970693387,0.183940174984854,0.2325276275789434
4.214608056912205e-05,0.1597459816399298,0.18517390244682994,0.2362185423024187
4.288124830681995e-05,0.16053206587889818,0.1863478399133782,0.239909457025894
4.3620067100908115e-05,0.16138134425706382,0.18740819441923154,0.2436003717493693
4.436259985694987e-05,0.16223563003804425,0.1882957780991453,0.24729128647284457
4.510890979672792e-05,0.1630317429427897,0.1889473062749796,0.25098220119631987
4.5859060463627394e-05,0.1637052191878103,0.18929808103920231,0.2546731159197952
4.661311572804601e-05,0.1641953020280461,0.18928637557206535,0.25836403064327046
4.737113979283239e-05,0.16445079549949912,0.18885937597475735,0.26205494536674573
4.8133197198752365e-05,0.16443592406543814,0.18797996228559033,0.26574586009022105
4.889935282998423e-05,0.1641350685041398,0.1866331452830182,0.2694367748136963
4.9669671919643265e-05,0.1635553044653747,0.18483081210099847,0.27312768953717165
5.044422005533583e-05,0.16272608220489634,0.18261365814348376,0.2768186042606469
5.122306318474379e-05,0.16169603213258998,0.18004974348517305,0.2805095189841222
