B_applied_T,M_proj,S,t_s
6.217667454639213e-07,0.2588988942147909,0.3746500178534502,0.0036909147234752923
1.2435864302786994e-06,0.2610459608557935,0.3779255581077109,0.0073818294469505845
1.8655119983026286e-06,0.2644431011733433,0.3831089505559201,0.011072744170425877
2.487596402409262e-06,0.2688490638226148,0.38983925894291627,0.014763658893901169
3.1098926089960023e-06,0.2739384251327764,0.3976343032678278,0.01845457361737646
3.73245360249384e-06,0.2793065580391569,0.4059003639048518,0.022145488340851754
4.35533238987863e-06,0.284485968004878,0.41395814611662696,0.025836403064327045
4.978582005184288e-06,0.288979400548149,0.42109093377446855,0.029527317787802338
5.602255514018289e-06,0.29231061869783076,0.426614345722618,0.03321823251127763
6.226406018079856e-06,0.29408570174908144,0.42995745061711277,0.03690914723475292
6.851086659681221e-06,0.29404948734995623,0.43073651579152744,0.04060006195822821
7.476350626272338e-06,0.2921192942593641,0.428801087851802,0.04429097668170351
8.102251154969453e-06,0.28838501928910676,0.4242398961989231,0.0479818914051788
8.728841537087887e-06,0.2830779308312935,0.4173474725492432,0.05167280612865409
9.356175122679453e-06,0.27652170761011863,0.4085639936105543,0.055363720852129386
9.984305325074842e-06,0.26908220386364745,0.3984054153622492,0.059054635575604676
1.0613285625431438e-05,0.26112732121636334,0.38739849078931343,0.06274555029907997
1.1243169577286875e-05,0.25300025581326735,0.37602943562889485,0.06643646502255526
1.1874010811118768e-05,0.24500338766206778,0.36470946211559346,0.07012737974603055
1.2505863038911003e-05,0.2373882687972742,0.3537565636421658,0.07381829446950584
1.3138780058726958e-05,0.230348463228208,0.3433906132369328,0.07750920919298114
1.377281575929004e-05,0.2240141295843482,0.33373772663203893,0.08120012391645642
1.440802412457199e-05,0.2184487479710771,0.324839938838835,0.08489103863993172
1.5044459238389216e-05,0.21364904440216842,0.31666737353408536,0.08858195336340702
1.5682175289007705e-05,0.20954924761403343,0.3091316329900407,0.0922728680868823
1.6321226573756815e-05,0.20603049968791987,0.3021003785424727,0.0959637828103576
1.696166750365227e-05,0.20293554547959075,0.29541358669855083,0.0996546975338329
1.7603552608028985e-05,0.20008780294225878,0.2889017284383895,0.10334561225730818
1.8246936539183808e-05,0.19731278544411393,0.2824053304243131,0.10703652698078348
1.889187407702885e-05,0.19445895369942204,0.27579431591623477,0.11072744170425877
1.9538420133755614e-05,0.1914147658823989,0.26898456111417596,0.11441835642773406
2.018662975851041e-05,0.1881191658096027,0.2619487265170803,0.11810927115120935
2.0836558142081423e-05,0.184563957644393,0.254719040927405,0.12180018587468465
2.148826062159787e-05,0.1807881958014172,0.24738132271293684,0.12549110059815993
2.214179268524156e-05,0.17686642497041832,0.2400615753293576,0.12918201532163523
2.2797209976971356e-05,0.17289377039894863,0.2329081592849588,0.13287293004511053
2.3454568301260918e-05,0.1689710426922098,0.22607315136988812,0.13656384476858582
2.4113923627850063e-05,0.165192190980232,0.21969592867445198,0.1402547594920611
2.4775332096510216e-05,0.16163517213288253,0.21389073875858725,0.1439456742155364
2.543885002182436e-05,0.15835629530270345,0.20873876227356622,0.1476365889390117
2.6104533897981848e-05,0.15538765255060352,0.20428439754113517,0.15132750366248698
2.6772440403588483e-05,0.15273717781625434,0.20053518680895469,0.15501841838596228
2.744262640649239e-05,0.15039086925279493,0.1974647076515042,0.15870933310943758
2.8115148968625874e-05,0.148316632026395,0.1950176939475789,0.16240024783291285
2.879006535086393e-05,0.1464691282227341,0.1931166239918795,0.16609116255638814
2.946743301789956e-05,0.14479507457156082,0.1916690746484164,0.16978207727986344
3.0147309643136582e-05,0.14323862259698297,0.19057528939013943,0.17347299200333874
3.082975311360009e-05,0.14174668122777986,0.18973556768738814,0.17716390672681404
3.1514821534865185e-05,0.14027413518742027,0.18905715548323712,0.18085482145028933
3.2202573236004265e-05,0.13878876648535923,0.18846025662714552,0.1845457361737646
3.28930667745534e-05,0.1372753529595356,0.18788265396011686,0.1882366508972399
3.358636094149803e-05,0.13573812299035667,0.1872823832037668,0.1919275656207152
3.428251476627875e-05,0.13420076584699184,0.1866381001391274,0.1956184803441905
3.498158752181719e-05,0.13270365686871377,0.18594724038573562,0.1993093950676658
3.5683638729562755e-05,0.1312987003544979,0.18522260495477208,0.2030003097911411
3.638872816456046e-05,0.13004285749350555,0.18448831947113523,0.20669122451461636
3.7096915860540414e-05,0.12899167821146604,0.18377602027907497,0.21038213923809165
3.7808262115029295e-05,0.1281939121679439,0.183121680347332,0.21407305396156695
3.8522827494484225e-05,0.12768773800448024,0.18256297458567938,0.21776396868504225
3.924067283944971e-05,0.12749864007499598,0.18213678544145334,0.22145488340851754
3.99618592697377e-05,0.12763869168116956,0.18187649206321033,0.22514579813199284
4.0686448189631644e-05,0.12810697803623422,0.18180899229253297,0.2288367128554681
4.14145012931146e-05,0.12889097053799883,0.1819517737438448,0.2325276275789434
4.214608056912206e-05,0.12996870287998802,0.18231057680807108,0.2362185423024187
4.2881248306819955e-05,0.13131154757701255,0.18287817848900942,0.239909457025894
4.362006710090812e-05,0.13288728783584275,0.18363460369574355,0.2436003717493693
4.436259985694988e-05,0.1346630972554386,0.1845487629394118,0.24729128647284457
4.510890979672792e-05,0.13660803619401324,0.18558125886415333,0.25098220119631987
4.58590604636274e-05,0.13869477269926092,0.18668798168166603,0.2546731159197952
4.6613115728046025e-05,0.14090042470011516,0.18782412419636496,0.25836403064327046
4.73711397928324e-05,0.14320664718093457,0.18894831667226256,0.26205494536674573
4.813319719875237e-05,0.14559926986742336,0.19002661147290428,0.26574586009022105
4.889935282998423e-05,0.14806784145888316,0.1910359804681024,0.2694367748136963
4.966967191964327e-05,0.15060531737327532,0.19196685955778098,0.27312768953717165
5.0444220055335845e-05,0.15320789085878048,0.19282420247280907,0.2768186042606469
5.1223063184743794e-05,0.155874743085314,0.1936266159752487,0.2805095189841222
5.2006267621239476e-05,0.15860741053837013,0.19440347769222546,0.2842004337075975
5.279390004953178e-05,0.16140858357281007,0.19519039353187406,0.2878913484310728
5.358602753134411e-05,0.164280387852955,0.19602376180014172,0.2915822631545481
5.438271751112401e-05,0.16722243136045928,0.1969354222239968,0.2952731778780234
5.518403782178584e-05,0.17023002117502448,0.197948316717439,0.2989640926014987
5.599005669048611e-05,0.17329293441483787,0.19907381149764689,0.30265500732497397
5.680084274443268e-05,0.17639499477578108,0.20031092978724055,0.30634592204844924
5.761646501672794e-05,0.17951451658411277,0.20164734384288738,0.31003683677192456
5.843699295224641e-05,0.18262549239709855,0.20306167748483372,0.31372775149539983
5.926249641354763e-05,0.18569926788062913,0.2045265316097026,0.31741866621887516
6.009304568682442e-05,0.1887063987563988,0.20601166553010747,0.3211095809423504
6.0928711487887334e-05,0.19161842128411957,0.20748690123214153,0.3248004956658257
6.176956496818569e-05,0.1944093639070827,0.2089244983323535,0.328491410389301
6.261567772086545e-05,0.1970569387252231,0.21030091118953728,0.3321823251127763
6.346712178686517e-05,0.1995434334089587,0.21159794760921033,0.3358732398362516
6.432396966104964e-05,0.2018563536839515,0.21280339553045297,0.3395641545597269
6.518629429838239e-05,0.20398885005183431,0.21391119125526545,0.3432550692832022
6.605416912013734e-05,0.2059399284565428,0.2149211999754469,0.3469459840066775
6.692766802015009e-05,0.2077144241728991,0.21583868626655558,0.35063689873015275
6.78068653711096e-05,0.2093227267171887,0.21667356984743297,0.35432781345362807
6.869183603089039e-05,0.21078027519448697,0.21743957721765944,0.35801872817710334
