t_s,B_applied_T,M_proj,S,B_r
0.2030003097911411,0.005,0.9999761777013573,0.9999761822160285,0.005
0.20669122451461636,0.005,0.9999791872391168,0.9999791913108719,0.005
0.21038213923809165,0.005,0.9999820609662692,0.9999820640949976,0.005
0.21407305396156695,0.005,0.9999848182788993,0.9999848203135812,0.005
0.21776396868504225,0.005,0.9999873666247228,0.9999873677009494,0.005
0.22145488340851754,0.005,0.9999895904134875,0.999989590827025,0.005
0.22514579813199284,0.005,0.9999914153946886,0.9999914154712982,0.005
0.2288367128554681,0.005,0.9999928353070919,0.9999928353084745,0.005
0.2325276275789434,0.005000000000000001,0.9999939043748658,0.9999939044554655,0.005
0.2362185423024187,0.005,0.9999947097844264,0.9999947099933424,0.005
0.239909457025894,0.005,0.9999953406028321,0.9999953409139292,0.005
0.2436003717493693,0.005,0.9999958653691786,0.999995865720539,0.005
0.24729128647284457,0.004999999999999999,0.9999963233970564,0.9999963237251938,0.005
0.25098220119631987,0.005,0.9999967282307517,0.9999967284918999,0.005
0.2546731159197952,0.005,0.999997077903362,0.9999970780806784,0.005
0.25836403064327046,0.005,0.9999973660953535,0.9999973661953337,0.005
0.26205494536674573,0.005,0.9999975900723813,0.9999975901156335,0.005
0.26574586009022105,0.005,0.9999977539157411,0.9999977539269447,0.005
0.2694367748136963,0.005,0.9999978677660338,0.9999978677663145,0.005
0.27312768953717165,0.005,0.99999794491861,0.999997944921626,0.005
0.2768186042606469,0.005,0.9999979986318699,0.9999979986433495,0.005
0.2805095189841222,0.005,0.999998039850704,0.9999980398702739,0.005
0.2842004337075975,0.005,0.9999980762245312,0.9999980762484715,0.005
0.2878913484310728,0.005,0.9999981121903964,0.9999981122142075,0.005
0.2915822631545481,0.005,0.9999981496382856,0.9999981496584341,0.005
0.2952731778780234,0.005,0.9999981887198592,0.9999981887345442,0.005
0.2989640926014987,0.005,0.999998228548853,0.999998228557965,0.005
0.30265500732497397,0.005,0.9999982677250792,0.9999982677296828,0.005
0.30634592204844924,0.005,0.9999983047155658,0.9999983047172398,0.005
0.31003683677192456,0.005,0.9999983381414866,0.9999983381417618,0.005
