t_s,B_T,M_proj,S
0.00425710728213316,2.1586555816062923e-05,0.27732063284013053,0.27898341535076404
0.00851421456426632,4.317311163212585e-05,0.27858267701098544,0.2802291587240898
0.01277132184639948,6.475966744818877e-05,0.28007395584942263,0.2817024223159791
0.01702842912853264,8.63462232642517e-05,0.28178823551170873,0.2833972033690571
0.0212855364106658,0.00010793277908031462,0.2837254113211902,0.2853135346122178
0.02554264369279896,0.00012951933489637753,0.28588489431491787,0.2874509711743022
0.02979975097493212,0.00015110589071244047,0.2882659518573118,0.2898089241701206
0.03405685825706528,0.0001726924465285034,0.29086768627257936,0.2923866381649074
0.03831396553919844,0.00019427900234456633,0.29368903264784846,0.295183187599852
0.0425710728213316,0.00021586555816062924,0.2967287559836186,0.2981974727015475
0.04682818010346476,0.00023745211397669215,0.2999854487507216,0.30142821593183283
0.05108528738559792,0.00025903866979275507,0.3034575288182817,0.30487395895467884
0.05534239466773108,0.00028062522560881804,0.3071432377677341,0.30853306014265663
0.05959950194986424,0.00030221178142488095,0.31104063959938233,0.31240369263344236
0.0638566092319974,0.0003237983372409438,0.3151476198332713,0.31648384293876425
0.06811371651413056,0.0003453848930570068,0.31946188500226885,0.3207713101012413
0.07237082379626372,0.0003669714488730697,0.3239809625324778,0.32526370538905675
0.07662793107839688,0.00038855800468913266,0.32870220100451497,0.32995845251441197
0.08088503836053004,0.0004101445605051955,0.33362277078873387,0.3348527883592058
0.0851421456426632,0.0004317311163212585,0.3387396650480014,0.3399437641902031
0.08939925292479636,0.0004533176721373214,0.34404970110289823,0.3452282473458397
0.09365636020692952,0.0004749042279533843,0.3495495221558399,0.3507029233773585
0.09791346748906268,0.0004964907837694473,0.35523559937215754,0.35636429862772423
0.10217057477119584,0.0005180773395855101,0.3611042343171397,0.36220870323220006
0.106427682053329,0.000539663895401573,0.3671515617478989,0.36823229452405787
0.11068478933546216,0.0005612504512176361,0.3733735527572351,0.37443106082718236
0.11494189661759532,0.0005828370070336989,0.37976601826307377,0.3808008256139606
0.11919900389972848,0.0006044235628497619,0.3863246128314032,0.38733725200167785
0.12345611118186164,0.0006260101186658248,0.39304483881300345,0.3940358475537626
0.1277132184639948,0.0006475966744818876,0.3999220507650574,0.400891969344032
0.13197032574612796,0.0006691832302979507,0.40695146011864175,0.40790082923328336
0.13622743302826112,0.0006907697861140136,0.41412814004316395,0.4150574992991629
0.14048454031039428,0.0007123563419300764,0.42144703045026577,0.42235691735343567
0.14474164759252744,0.0007339428977461394,0.42890294307399013,0.4297938924769323
0.1489987548746606,0.0007555294535622023,0.43649056656245677,0.4373631105028529
0.15325586215679377,0.0007771160093782653,0.44420447152010806,0.4450591393848602
0.15751296943892693,0.0007987025651943282,0.4520391154495067,0.45287643439812175
0.16177007672106009,0.000820289121010391,0.4599888475578118,0.46080934313920635
0.16602718400319325,0.000841875676826454,0.4680479134147656,0.46885211031372737
0.1702842912853264,0.000863462232642517,0.4762104594747006,0.4769988823272183
0.17454139856745957,0.0008850487884585798,0.4844705375022637,0.4852437117224462
0.17879850584959273,0.0009066353442746428,0.4928221089669895,0.49358056153194535
0.18305561313172589,0.0009282219000907057,0.5012590494917597,0.502003309634306
0.18731272041385905,0.0009498084559067686,0.5097751534506065,0.5105057532128137
0.1915698276959922,0.0009713950117228316,0.5183641388086706,0.5190816134119699
0.19582693497812537,0.0009929815675388946,0.5270196522786557,0.5277245402686591
0.20008404226025853,0.0010145681233549575,0.5357352748325509,0.5364281179591154
0.2043411495423917,0.0010361546791710203,0.5445045275553453,0.5451858703511908
0.20859825682452485,0.0010577412349870832,0.553320877761817,0.5539912667867003
0.212855364106658,0.001079327790803146,0.5621777452235718,0.5628377279461847
0.21711247138879117,0.0011009143466192092,0.571068508278867,0.5717186315758335
0.22136957867092433,0.0011225009024352721,0.5799865095317804,0.5806273177927911
0.2256266859530575,0.001144087458251335,0.5889250608003483,0.5895570936408611
0.22988379323519065,0.0011656740140673979,0.597877446955761,0.598501236553826
0.2341409005173238,0.0011872605698834606,0.6068369283156064,0.6074529964069689
0.23839800779945697,0.0012088471256995238,0.6157967413198828,0.6164055959049605
0.24265511508159013,0.0012304336815155868,0.6247500973314418,0.6253522291681671
0.2469122223637233,0.0012520202373316495,0.6336901795601109,0.6342860585367468
0.2511693296458565,0.0012736067931477127,0.6426101383037275,0.6432002098041384
0.2554264369279896,0.0012951933489637752,0.6515030849157881,0.6520877663046916
0.25968354421012274,0.0013167799047798382,0.6603620851294367,0.6609417624951797
0.26394065149225593,0.0013383664605959014,0.6691801525685567,0.6697551778644066
0.2681977587743891,0.0013599530164119644,0.6779502434347675,0.678520932155236
0.27245486605652225,0.001381539572228027,0.6866652534514643,0.6872318829669177
0.2767119733386554,0.00140312612804409,0.6953180181542952,0.6958808268047408
0.28096908062078857,0.0014247126838601528,0.7039013175307054,0.7044605045486458
0.28522618790292176,0.001446299239676216,0.7124078858283567,0.7129636121222884
0.2894832951850549,0.0014678857954922788,0.7208304270837909,0.7213828168704675
0.293740402467188,0.0014894723513083415,0.7291616365905598,0.729710779818486
0.2979975097493212,0.0015110589071244047,0.7373942281618444,0.7379401836241023
0.3022546170314544,0.0015326454629404677,0.7455209666841109,0.7460637656792309
0.30651172431358753,0.0015542320187565306,0.7535347051445497,0.75407435551318
0.31076883159572066,0.0015758185745725932,0.7614284250801032,0.7619649154255271
0.31502593887785385,0.0015974051303886563,0.7691952792639,0.7697285831577297
0.31928304615998704,0.0016189916862047195,0.7768286354255882,0.7773587154066932
0.32354015344212017,0.001640578242020782,0.7843221198891421,0.7848489310830633
0.3277972607242533,0.001662164797836845,0.7916696601839902,0.7921931533995292
0.3320543680063865,0.001683751353652908,0.7988655259106534,0.7993856501067592
0.3363114752885197,0.0017053379094689712,0.805904367383275,0.8064210714389988
0.3405685825706528,0.001726924465285034,0.8127812517929698,0.8132944855522822
0.34482568985278594,0.0017485110211010967,0.8194916968100767,0.8200014114083106
0.34908279713491913,0.0017700975769171597,0.8260317016542911,0.8265378491613086
0.3533399044170523,0.0017916841327332226,0.8323977757068681,0.8329003081422801
0.35759701169918545,0.0018132706885492856,0.8385869647282853,0.839085832515966
0.3618541189813186,0.0018348572443653483,0.8445968746961028,0.8450920246298769
0.36611122626345177,0.0018564438001814113,0.8504256932128913,0.8509170660047319
0.37036833354558496,0.0018780303559974745,0.8560722083727459,0.8565597358519774
0.3746254408277181,0.0018996169118135372,0.8615358249303484,0.8620194269603886
0.3788825481098512,0.0019212034676296,0.8668165775926434,0.86729615877373
0.3831396553919844,0.0019427900234456632,0.8719151412437205,0.8723905874780711
0.3873967626741176,0.0019432074207382743,0.8768328379037365,0.8773040129146603
0.39165386995625073,0.0019216208649222115,0.8815202505157922,0.8819871567752271
0.39591097723838387,0.0019000343091061485,0.8859389313917432,0.8864017089014639
0.40016808452051705,0.0018784477532900856,0.890107957981141,0.8905667102978299
0.40442519180265024,0.0018568611974740224,0.8940427846257875,0.8944975885026336
0.4086822990847834,0.0018352746416579599,0.897758440099062,0.8982093449906092
0.4129394063669165,0.0018136880858418969,0.9012693507150689,0.9017163795302869
0.4171965136490497,0.001792101530025834,0.9045893399207959,0.9050324903431706
0.4214536209311829,0.001770514974209771,0.9077316182488454,0.908170864615405
0.425710728213316,0.001748928418393708,0.9107087736088487,0.9111440692787218
0.42996783549544915,0.0017273418625776455,0.9135327617599349,0.913964041889048
0.43422494277758233,0.0017057553067615823,0.9162148974537995,0.916642082082118
0.4384820500597155,0.001684168750945519,0.9187658467837403,0.9191888441375824
0.44273915734184865,0.0016625821951294563,0.9211956213148699,0.9216143312283959
0.4469962646239818,0.0016409956393133936,0.9235135745748863,0.9239278919405541
0.451253371906115,0.0016194090834973306,0.9257284014578189,0.9261382196238813
0.45551047918824816,0.0015978225276812674,0.9278481410381233,0.9282533550806538
0.4597675864703813,0.0015762359718652047,0.929880183212328,0.9302806930186901
0.4640246937525144,0.001554649416049142,0.9318312794830104,0.9322269925924084
0.4682818010346476,0.0015330628602330787,0.9337075580784572,0.934098392232971
0.4725389083167808,0.001511476304417016,0.9355145434650605,0.9359004288315755
0.47679601559891394,0.001489889748600953,0.9372571801638158,0.9376380611939147
0.48105312288104707,0.00146830319278489,0.9389398606339646,0.9393156975357522
0.48531023016318026,0.001446716636968827,0.9405664568437948,0.9409372266473229
0.48956733744531344,0.001425130081152764,0.942140355019113,0.9425060522259162
0.4938244447274466,0.0014035435253367012,0.9436644929518947,0.9440251297692752
0.4980815520095797,0.0013819569695206386,0.9451413991717151,0.945497005343618
0.502338659291713,0.001360370413704575,0.9465732332353901,0.9469238554935123
0.5065957665738461,0.0013387838578885125,0.9479618263778931,0.948307527548388
0.5108528738559792,0.0013171973020724497,0.9493087217894262,0.9496495796013624
0.5151099811381123,0.0012956107462563868,0.9506152138362789,0.9509513194870904
0.5193670884202455,0.001274024190440324,0.9518823856214931,0.9522138421612819
0.5236241957023787,0.0012524376346242606,0.9531111443785267,0.9534380649787647
0.5278813029845119,0.0012308510788081979,0.954302254299606,0.9546247604722469
0.532138410266645,0.001209264522992135,0.9554563665127631,0.9557745863430622
0.5363955175487782,0.0011876779671760717,0.9565740460309544,0.9568881124816727
0.5406526248309114,0.001166091411360009,0.957655795597544,0.9579658449341862
0.5449097321130445,0.0011445048555439462,0.9587020764407685,0.9590082468177353
0.5491668393951776,0.0011229182997278837,0.959713326023055,0.960015756259773
0.5534239466773108,0.0011013317439118205,0.9606899729283,0.9609888014933057
0.557681053959444,0.0010797451880957573,0.9616324490717523,0.9619278132819784
0.5619381612415771,0.0010581586322796945,0.962541199444324,0.9628332348770827
0.5661952685237103,0.0010365720764636316,0.9634166896180163,0.9637055297247766
0.5704523758058435,0.0010149855206475686,0.9642594112440447,0.964545187148408
0.5747094830879766,0.0009933989648315056,0.9650698857726279,0.9653527262299808
0.5789665903701098,0.0009718124090154428,0.9658486666154968,0.9661286981087346
0.5832236976522429,0.00095022585319938,0.9665963399609355,0.9668736869052347
0.587480804934376,0.0009286392973833172,0.9673135244380856,0.9675883094677961
0.5917379122165093,0.0009070527415672539,0.9680008698134126,0.9682732141254726
0.5959950194986424,0.0008854661857511912,0.9686590548883716,0.9689290786189371
0.6002521267807756,0.0008638796299351284,0.9692887847537466,0.9695566073676884
0.6045092340629088,0.000842293074119065,0.9698907875430586,0.9701565282193289
0.6087663413450419,0.0008207065183030021,0.9704658108147746,0.9707295888141548
0.6130234486271751,0.0007991199624869395,0.9710146176807363,0.9712765526859329
