B_applied_T,M_proj,S,t_s
3.2132022302838525e-08,0.11811766368374081,0.11812398047924208,0.00019074393014917312
9.741663687133954e-08,0.11807036217152661,0.11807665027732966,0.0005782899761141991
1.6270134288476942e-07,0.1180231186160255,0.11802937857308225,0.000965836022079003
2.2798620162589853e-07,0.1179759025252945,0.11798213492877752,0.001353382068043807
2.9327127437764053e-07,0.11792872869491425,0.11793493413133954,0.0017409281140088328
3.5855662242299786e-07,0.11788157595184887,0.1178877550485255,0.0021284741599736368
4.2384230704538076e-07,0.11783445248386099,0.11784060586945255,0.0025160202059386627
4.891283895283662e-07,0.11778734322628526,0.11779347156182343,0.0029035662519034666
5.544149311560538e-07,0.11774025223611187,0.1177463561901679,0.0032911122978684926
6.19701993212825e-07,0.11769316849708128,0.11769924876529259,0.0036786583438332965
6.849896369836987e-07,0.11764609350724153,0.1176521507966228,0.0040662043897983224
7.502779237540912e-07,0.11759901896986179,0.11760505401115592,0.004453750435763126
8.155669148101713e-07,0.11755194482224338,0.11755795835997422,0.004841296481728152
8.808566714386195e-07,0.11750486462466611,0.11751085742499634,0.005228842527692956
9.461472549269471e-07,0.1174577773875018,0.11746375023191033,0.00561638857365776
1.0114387265634415e-06,0.11741067796426699,0.1174166316545883,0.006003934619622786
1.076731147637112e-06,0.11736356484027273,0.11736950019467637,0.00639148066558759
1.1420245794380083e-06,0.11731643379075213,0.11732235164701141,0.006779026711552616
1.2073190832569794e-06,0.11726928302991668,0.11727518424286214,0.00716657275751742
1.2726147203860301e-06,0.11722210900754958,0.1172279944512254,0.007554118803482446
1.3379115521180797e-06,0.11717490982629328,0.11718078039236358,0.00794166484944725
1.4032096397473184e-06,0.11712768244421129,0.11713353904342033,0.008329210895412276
1.4685090445689656e-06,0.11708042495159177,0.1170862685127941,0.00871675694137708
1.5338098278796266e-06,0.11703313470148041,0.11703896617266844,0.009104302987342106
1.5991120509770516e-06,0.11698580983252682,0.11699163018027693,0.00949184903330691
1.6644157751604535e-06,0.11693844801440992,0.11694425822464515,0.009879395079271713
1.7297210617304564e-06,0.11689104747033915,0.11689684854805904,0.01026694112523674
1.7950279719890362e-06,0.1168436061315422,0.11684939910142864,0.010654487171201543
1.8603365672398437e-06,0.11679612232644573,0.11680190823279234,0.01104203321716657
1.9256469087879627e-06,0.11674859420839134,0.11675437411562188,0.011429579263131373
1.9909590579402643e-06,0.11670102022191026,0.11670679521465388,0.011817125309096399
2.056273076005168e-06,0.11665339871368242,0.11665916989725023,0.012204671355061203
2.1215890242929956e-06,0.11660572824917279,0.11661149674974457,0.012592217401026229
2.186906964115734e-06,0.11655800734699204,0.11656377431208045,0.012979763446991033
2.2522269567873863e-06,0.11651023469469796,0.11651600129342547,0.013367309492956059
2.3175490636237348e-06,0.11646240896660592,0.11646817639017658,0.013754855538920863
2.382873345942695e-06,0.11641452897138821,0.11642029843344029,0.014142401584885889
2.4481998650640746e-06,0.11636659352655646,0.11637236626365595,0.014529947630850693
2.513528682309896e-06,0.11631860155976244,0.11632437883182262,0.014917493676815496
