geometry,damp_idx,area_mean,area_std,Bc_mean,Bc_std,Mr_mean,Mr_std,Q_mean
honeycomb,0,0.0016959539770523174,,0.0005307494233920708,,0.6343909716735465,,15.0
honeycomb,1,0.004461938534251971,,0.001339322745876607,,0.9793656206874728,,0.8660254037844386
honeycomb,2,0.004566959289643602,,0.0012213135387923028,,0.6020059893204731,,0.05
square,0,0.0017206825043649923,,0.0005136512846442582,,0.6584241566504134,,15.0
square,1,0.0051198024273672715,,0.0014798469386221383,,0.9830008787022873,,0.8660254037844386
square,2,0.004300651880756818,,0.0010818914422444056,,0.5813202144217091,,0.05
triangular,0,0.00214986612609925,,0.0006280482158097761,,0.7438094588772597,,15.0
triangular,1,0.005608162891977527,,0.001644205453997049,,0.9899625357288506,,0.8660254037844386
triangular,2,0.0027083943799649625,,,,0.6180654929275199,,0.05
