step,t_s,Bx_T,By_T,B_scalar_T,branch,forc_index,Mx,My,M_proj,S1,S2,theta_director_rad,q_axis,flip_field,flip_angle,E_dip_J,E_ext_J,E_kin_J,E_total_J,omega_rms_rad_s,omega_max_rad_s
0,0,0,0,0,static,-1,1,0,1,1,1,0,1,0,0,-0.000485978406252,-0,0,-0.000485978406252,0,0
1,0.00127705498676,0,0,0,static,-1,0.99998162326,0.000827571391725,0.99998162326,0.999981965704,0.999927875704,0.000827184359032,1,0,0,-0.000486585484686,-0,4.522235436e-07,-0.000486133261142,8.12799660521,41.2486460864
